,階,賃料,占有面積
0,5.0,10.65,25.71
1,7.0,7.8,21.03
2,3.0,10.2,26.1
3,2.0,6.9,19.83
4,3.0,10.3,25.03
5,4.0,10.4,25.03
6,2.0,8.7,26.01
7,3.0,11.3,29.28
8,3.0,11.0,25.0
9,3.0,10.0,23.83
10,3.0,10.0,23.83
11,2.0,8.7,22.4
12,2.0,8.0,24.09
13,12.0,7.7,21.24
14,8.0,10.6,26.04
15,3.0,8.7,23.71
16,2.0,9.2,27.28
17,3.0,7.9,20.64
18,4.0,9.1,19.91
19,9.0,9.9,21.57
20,3.0,10.8,31.62
21,8.0,10.6,26.04
22,2.0,11.2,25.69
23,8.0,15.2,35.32
24,11.0,9.9,27.32
25,2.0,12.6,25.74
26,4.0,8.5,20.08
27,3.0,8.5,19.67
28,3.0,8.5,19.67
29,2.0,10.7,25.03
0,2.0,10.7,25.03
1,12.0,16.0,40.44
2,4.0,10.8,27.73
3,9.0,8.2,21.95
4,3.0,7.5,19.77
5,5.0,10.7,25.47
6,4.0,9.5,19.35
7,4.0,9.6,25.24
8,4.0,9.6,25.24
9,2.0,11.4,31.98
10,2.0,9.8,21.42
11,3.0,9.8,30.25
12,5.0,22.9,42.51
13,2.0,7.5,20.91
14,6.0,9.1,21.66
15,2.0,8.9,27.41
16,2.0,12.2,25.04
17,5.0,9.5,27.12
18,2.0,6.2,14.04
19,3.0,7.7,20.57
20,4.0,7.2,18.56
21,3.0,9.7,22.52
22,12.0,10.1,22.52
23,3.0,10.7,32.16
24,11.0,8.8,28.04
25,2.0,9.9,33.33
26,2.0,9.3,25.34
27,3.0,7.7,20.57
28,3.0,5.8,15.0
29,5.0,7.6,21.34
30,2.0,7.7,18.11
31,10.0,12.5,34.81
32,6.0,5.9,16.5
33,3.0,6.8,25.01
34,4.0,5.5,15.12
35,6.0,7.9,26.53
36,8.0,11.0,25.3
37,3.0,7.6,17.87
38,3.0,6.3,16.5
39,5.0,7.6,21.34
40,3.0,7.5,21.77
41,3.0,8.5,24.84
42,3.0,6.5,16.94
43,2.0,5.3,17.41
44,3.0,6.0,22.32
45,12.0,11.5,27.06
46,3.0,5.0,18.25
47,5.0,6.8,21.36
48,4.0,6.0,16.24
49,2.0,6.5,18.0
0,13.0,8.0,20.0
1,2.0,6.2,16.0
2,2.0,5.8,15.51
3,6.0,9.0,23.0
4,3.0,6.8,16.0
5,3.0,5.9,18.63
6,5.0,4.9,11.4
7,2.0,7.0,20.1
8,4.0,6.0,16.24
9,8.0,7.0,22.0
10,5.0,5.0,10.54
11,3.0,4.5,13.0
12,6.0,6.4,14.13
13,3.0,6.8,25.01
14,2.0,5.2,13.25
15,5.0,8.4,19.38
16,4.0,6.0,17.47
17,4.0,10.3,25.43
18,4.0,8.5,25.95
19,8.0,11.5,25.25
20,4.0,10.8,27.42
21,2.0,9.0,25.56
22,4.0,10.9,26.5
23,3.0,10.3,25.03
24,2.0,10.4,25.37
25,2.0,10.2,24.67
26,3.0,9.7,20.72
27,2.0,10.0,25.28
28,5.0,9.6,20.54
29,5.0,9.6,20.54
30,4.0,7.8,22.91
31,2.0,8.0,20.72
32,3.0,7.5,20.46
33,3.0,7.5,20.46
34,2.0,8.5,21.62
35,5.0,9.2,18.2
36,2.0,8.2,20.48
37,2.0,7.9,24.7
38,2.0,10.6,25.24
39,2.0,8.0,24.09
40,8.0,8.0,21.01
41,3.0,7.8,19.64
42,2.0,8.7,22.4
43,3.0,8.4,23.55
44,3.0,8.4,23.55
45,7.0,8.3,22.64
46,3.0,7.9,20.16
47,2.0,10.8,26.97
48,5.0,8.8,20.25
49,3.0,9.75,25.79
0,2.0,8.9,20.25
1,2.0,8.5,26.3
2,2.0,8.5,26.3
3,4.0,9.6,26.0
4,6.0,9.35,25.55
5,7.0,8.1,21.09
6,7.0,10.0,23.56
7,3.0,9.85,25.11
8,3.0,7.9,29.2
9,2.0,9.0,28.3
10,9.0,16.2,39.9
11,5.0,10.2,25.47
12,11.0,11.15,25.41
13,2.0,10.1,21.27
14,2.0,9.2,23.48
15,8.0,10.7,27.25
16,5.0,8.25,20.44
17,6.0,8.4,21.15
18,6.0,8.9,21.15
19,4.0,8.2,22.0
20,11.0,8.9,20.32
21,8.0,8.0,21.01
22,2.0,7.7,20.25
23,2.0,7.7,20.25
24,2.0,8.8,18.56
25,2.0,6.9,22.11
26,5.0,8.8,22.29
27,2.0,7.7,25.22
28,3.0,8.7,22.12
29,8.0,8.15,19.68
30,7.0,7.9,24.87
31,7.0,9.2,23.11
32,2.0,10.2,24.87
33,5.0,10.65,25.71
34,11.0,11.15,25.41
35,6.0,9.4,25.6
36,3.0,8.0,23.38
37,4.0,8.1,17.94
38,4.0,8.1,17.94
39,2.0,13.1,30.63
40,2.0,7.9,21.7
41,2.0,7.9,21.7
42,4.0,9.1,25.38
43,2.0,7.3,21.23
44,3.0,12.0,30.78
45,2.0,9.3,21.78
46,2.0,8.3,23.18
47,4.0,8.5,18.09
48,3.0,8.55,22.11
49,3.0,7.5,20.07
0,3.0,8.55,22.11
1,9.0,11.5,29.62
2,12.0,9.1,22.43
3,3.0,6.9,18.88
4,2.0,10.5,25.43
5,2.0,7.6,21.33
6,7.0,11.0,25.2
7,8.0,8.15,19.68
8,8.0,7.5,20.89
9,3.0,10.05,26.96
10,2.0,7.6,20.73
11,2.0,9.1,21.28
12,2.0,10.6,25.34
13,2.0,7.0,22.24
14,7.0,7.9,18.79
15,3.0,6.5,20.53
16,8.0,9.2,24.7
17,5.0,9.8,25.36
18,9.0,10.1,23.49
19,9.0,10.1,23.49
20,4.0,8.85,22.5
21,4.0,8.85,22.5
22,5.0,8.8,22.29
23,3.0,8.7,22.26
24,2.0,12.2,25.04
25,3.0,8.7,25.44
26,7.0,8.5,23.37
27,9.0,11.8,34.95
28,3.0,5.9,13.61
29,2.0,6.7,17.62
30,4.0,7.4,22.29
31,10.0,8.11,21.29
32,3.0,8.9,25.2
33,3.0,13.2,35.24
34,9.0,23.3,38.98
35,3.0,7.1,18.48
36,7.0,9.2,23.11
37,7.0,7.8,26.44
38,3.0,6.9,18.88
39,3.0,6.9,18.88
40,2.0,8.2,23.18
41,3.0,7.6,21.53
42,5.0,7.55,22.95
43,2.0,8.3,22.72
44,2.0,8.3,22.72
45,2.0,8.0,19.66
46,9.0,8.4,22.68
47,2.0,10.5,25.43
48,4.0,10.9,25.43
49,4.0,9.9,25.07
0,4.0,11.0,22.91
1,6.0,11.0,22.91
2,2.0,9.7,25.36
3,2.0,9.0,25.81
4,5.0,9.4,23.52
5,4.0,9.1,19.91
6,3.0,12.6,32.15
