,築年数,賃料,占有面積
0,15.0,8.5,20.14
1,19.0,7.2,20.87
2,15.0,12.9,28.55
3,19.0,7.8,20.92
4,24.0,5.9,18.0
5,19.0,7.5,19.14
6,11.0,1.05,22.7
7,45.0,8.5,24.84
8,16.0,8.2,22.08
9,30.0,5.7,16.11
10,11.0,8.6,26.11
11,17.0,7.9,18.87
12,5.0,8.2,25.8
13,5.0,8.2,25.8
14,38.0,5.9,20.0
15,18.0,7.9,24.36
16,33.0,6.5,19.0
17,18.0,7.7,22.73
18,33.0,6.36,22.17
19,19.0,7.1,18.55
20,20.0,8.2,23.9
21,12.0,9.3,21.36
22,15.0,8.0,24.79
23,15.0,8.0,24.79
24,15.0,8.0,24.79
25,34.0,7.5,20.27
26,27.0,8.3,20.7
27,21.0,6.6,19.4
28,5.0,9.0,25.81
29,18.0,12.0,33.63
30,16.0,7.7,23.53
31,23.0,8.0,22.88
32,32.0,6.7,20.26
33,10.0,8.62,20.73
34,17.0,7.6,18.53
35,9.0,7.9,23.49
36,9.0,7.9,23.49
37,28.0,6.2,16.58
38,37.0,7.0,21.0
39,21.0,7.5,19.3
40,27.0,7.55,19.04
41,38.0,5.9,20.0
42,10.0,16.2,39.9
43,38.0,8.0,30.0
44,29.0,7.8,25.8
45,2.0,10.4,25.03
46,10.0,8.7,26.01
47,24.0,7.8,25.56
48,8.0,11.2,27.57
49,4.0,10.2,25.3
0,9.0,11.4,29.28
1,8.0,10.0,23.83
2,50.0,9.2,39.18
3,11.0,8.7,22.12
4,11.0,8.7,22.12
5,14.0,9.8,24.9
6,15.0,7.8,20.98
7,14.0,8.7,22.4
8,10.0,8.0,24.09
9,10.0,8.0,24.09
10,16.0,10.6,26.04
11,26.0,6.5,18.09
12,27.0,6.7,18.09
13,9.0,9.0,28.3
14,12.0,8.5,18.09
15,13.0,7.9,20.64
16,13.0,7.9,20.56
17,8.0,10.8,31.62
18,2.0,10.6,25.08
19,2.0,11.0,23.35
20,2.0,11.0,23.35
21,7.0,6.4,11.79
22,5.0,15.2,35.32
23,0.0,10.4,26.66
24,17.0,10.5,26.32
25,0.0,11.2,28.05
26,2.0,9.5,20.11
27,5.0,10.6,30.04
28,2.0,8.5,20.08
29,14.0,10.5,22.54
30,14.0,10.8,24.24
31,11.0,9.9,27.32
32,10.0,13.0,23.53
33,13.0,9.2,29.45
34,3.0,9.4,20.31
35,36.0,7.9,25.49
36,12.0,12.9,35.0
37,17.0,7.7,21.24
38,10.0,11.45,28.54
39,2.0,10.7,25.03
40,16.0,11.8,24.72
41,6.0,9.5,20.34
42,13.0,11.2,26.14
43,3.0,12.0,24.54
44,19.0,7.3,21.23
45,13.0,9.9,30.92
46,3.0,9.0,21.87
47,13.0,14.2,40.99
48,11.0,8.7,21.23
49,11.0,10.8,21.23
0,0.0,8.7,23.71
1,10.0,13.0,25.25
2,14.0,7.2,18.56
3,6.0,10.8,25.06
4,7.0,11.4,31.98
5,9.0,9.8,30.25
6,28.0,6.5,16.0
7,9.0,9.8,30.25
8,2.0,21.6,38.9
9,3.0,10.5,25.36
10,12.0,11.1,27.62
11,12.0,11.1,27.62
12,16.0,9.1,23.09
13,7.0,22.9,42.51
14,22.0,6.8,16.27
15,13.0,11.2,26.14
16,27.0,8.5,27.5
17,12.0,8.2,21.95
18,20.0,6.2,14.6
19,25.0,7.7,18.11
20,19.0,9.0,20.0
21,18.0,10.5,27.11
22,16.0,10.3,26.64
23,15.0,7.3,18.01
24,19.0,8.0,23.22
25,14.0,8.6,23.72
26,11.0,9.8,21.42
27,14.0,7.5,20.91
28,30.0,10.2,31.08
29,0.0,9.1,21.66
30,0.0,9.1,21.66
31,2.0,8.9,25.7
32,16.0,9.5,27.12
33,2.0,8.5,20.08
34,22.0,6.2,14.04
35,21.0,6.5,17.0
36,32.0,7.7,20.57
37,23.0,7.2,16.36
38,16.0,11.5,27.06
39,23.0,6.2,13.71
40,10.0,6.6,15.03
41,9.0,29.9,49.62
42,25.0,8.8,36.95
43,0.0,15.2,48.49
44,19.0,6.7,14.4
45,19.0,6.7,14.4
46,0.0,15.2,48.49
47,18.0,10.7,32.16
48,0.0,21.0,40.66
49,11.0,9.1,25.42
0,18.0,8.8,28.04
1,26.0,5.8,15.0
2,27.0,8.0,21.51
3,11.0,9.1,25.42
4,6.0,9.9,33.33
5,13.0,7.44,19.3
6,32.0,7.7,20.57
7,18.0,7.3,22.96
8,26.0,5.2,9.88
9,16.0,7.6,21.34
10,26.0,5.2,9.88
11,31.0,5.9,17.28
12,32.0,6.6,16.0
13,32.0,6.6,16.0
14,13.0,12.5,34.05
15,37.0,6.9,18.93
16,33.0,6.3,18.88
17,30.0,7.0,14.6
18,36.0,8.2,27.14
19,32.0,5.2,9.12
20,33.0,6.0,15.0
21,35.0,7.2,17.69
22,26.0,6.95,21.0
23,29.0,6.8,25.01
24,34.0,9.2,27.17
25,42.0,11.9,31.85
26,20.0,7.4,19.89
27,37.0,7.0,17.0
28,30.0,6.0,16.0
29,32.0,6.6,20.57
30,38.0,6.9,22.7
31,33.0,7.3,19.98
32,34.0,5.4,13.8
33,43.0,7.0,12.51
34,34.0,5.9,9.96
35,34.0,5.9,9.96
36,32.0,5.3,17.41
37,32.0,5.3,17.41
38,35.0,8.0,25.6
39,33.0,6.0,22.32
40,35.0,10.0,25.42
41,35.0,7.5,21.38
