,year,month,ave_t,max_t,min_t
0,1980,1,5.6,10.0,1.7
1,1980,2,5.2,9.2,1.3
2,1980,3,8.2,12.0,4.9
3,1980,4,13.6,17.6,9.9
4,1980,5,19.2,23.4,15.2
5,1980,6,23.6,27.0,20.9
6,1980,7,23.8,27.4,21.1
7,1980,8,23.4,26.6,20.7
8,1980,9,23.0,26.1,20.3
9,1980,10,18.2,21.9,14.8
10,1980,11,13.0,16.8,9.2
11,1980,12,7.7,11.9,3.8
12,1981,1,4.4,8.5,0.6
13,1981,2,5.3,9.2,1.9
14,1981,3,9.0,13.0,5.2
15,1981,4,13.9,18.0,9.5
16,1981,5,17.5,21.4,13.5
17,1981,6,20.2,23.6,17.2
18,1981,7,26.3,30.0,23.4
19,1981,8,26.2,30.0,23.4
20,1981,9,21.8,25.2,18.7
21,1981,10,17.6,21.1,14.4
22,1981,11,10.4,13.9,7.2
23,1981,12,7.6,11.7,3.8
