date,date,ave_t,max_t,min_t
1980-01-01,1980-01-01,5.6,10.0,1.7
1980-02-01,1980-02-01,5.2,9.2,1.3
1980-03-01,1980-03-01,8.2,12.0,4.9
1980-04-01,1980-04-01,13.6,17.6,9.9
1980-05-01,1980-05-01,19.2,23.4,15.2
1980-06-01,1980-06-01,23.6,27.0,20.9
1980-07-01,1980-07-01,23.8,27.4,21.1
1980-08-01,1980-08-01,23.4,26.6,20.7
1980-09-01,1980-09-01,23.0,26.1,20.3
1980-10-01,1980-10-01,18.2,21.9,14.8
1980-11-01,1980-11-01,13.0,16.8,9.2
1980-12-01,1980-12-01,7.7,11.9,3.8
1981-01-01,1981-01-01,4.4,8.5,0.6
1981-02-01,1981-02-01,5.3,9.2,1.9
1981-03-01,1981-03-01,9.0,13.0,5.2
1981-04-01,1981-04-01,13.9,18.0,9.5
1981-05-01,1981-05-01,17.5,21.4,13.5
1981-06-01,1981-06-01,20.2,23.6,17.2
1981-07-01,1981-07-01,26.3,30.0,23.4
1981-08-01,1981-08-01,26.2,30.0,23.4
1981-09-01,1981-09-01,21.8,25.2,18.7
1981-10-01,1981-10-01,17.6,21.1,14.4
1981-11-01,1981-11-01,10.4,13.9,7.2
1981-12-01,1981-12-01,7.6,11.7,3.8
1982-01-01,1982-01-01,5.8,9.7,2.2
1982-02-01,1982-02-01,5.5,9.3,1.8
1982-03-01,1982-03-01,9.9,14.0,5.9
1982-04-01,1982-04-01,14.0,17.8,10.0
1982-05-01,1982-05-01,20.7,24.7,16.8
1982-06-01,1982-06-01,21.4,24.9,18.2
1982-07-01,1982-07-01,23.1,26.1,20.4
1982-08-01,1982-08-01,27.1,30.2,24.6
1982-09-01,1982-09-01,22.3,25.6,19.8
1982-10-01,1982-10-01,18.0,21.6,14.6
1982-11-01,1982-11-01,14.3,17.6,11.3
1982-12-01,1982-12-01,9.5,13.0,5.7
1983-01-01,1983-01-01,6.2,10.2,2.5
1983-02-01,1983-02-01,6.1,10.2,2.4
1983-03-01,1983-03-01,8.6,12.1,5.2
1983-04-01,1983-04-01,15.9,20.3,12.1
1983-05-01,1983-05-01,19.7,23.7,15.7
1983-06-01,1983-06-01,20.5,24.2,17.1
1983-07-01,1983-07-01,23.8,27.1,21.2
1983-08-01,1983-08-01,27.5,31.0,24.6
1983-09-01,1983-09-01,23.1,26.1,20.9
1983-10-01,1983-10-01,17.7,21.2,14.3
1983-11-01,1983-11-01,12.3,16.3,8.6
1983-12-01,1983-12-01,7.1,11.1,3.3
1984-01-01,1984-01-01,3.7,7.5,0.2
1984-02-01,1984-02-01,3.0,6.3,0.0
1984-03-01,1984-03-01,5.9,10.2,2.0
1984-04-01,1984-04-01,11.6,16.0,7.9
1984-05-01,1984-05-01,17.2,21.2,14.0
1984-06-01,1984-06-01,21.8,24.9,19.2
1984-07-01,1984-07-01,26.2,30.0,23.2
1984-08-01,1984-08-01,28.6,32.4,25.7
1984-09-01,1984-09-01,23.5,27.1,20.3
